"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus,.nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,30.3698517550335,3.73036604061722,0.062934219518095,0,0,0.594805771858837,0,0,0.637512949608163,0,0,0.131786099251614,1.18961154371767,18.3103995186075,5.0661370229151,0.495145992582086,5.35810701761431,0,0.573452182984174,3.1002170872066,2.12761412491346,0.315797644696369,2.4007045918605,0.157930801235808,2.01599110965537,0.315797644696369,0,6.43287868449698,0,0.804962019287785,1.85806030841956,0.37400470888018,0.521226736791033,1.81062597533595,9.11625596952358,0.410794226414082,2.61073292373896,0.168575616785516,0.0842878083927581,0.062934219518095,1.02103592693216,0,0,1.11603250864987
1974,37.3512560810039,4.6825620428856,0.0727686920004658,0.145537384000932,0.145537384000932,0.620731170345954,0.0524612687150108,0.0727686920004658,0.448458574146895,0.0395982404565688,0.125229960715477,0.131657749628148,0.859344669632806,17.1520057352729,4.34207582451175,0.606851535973171,5.61806082552162,0.297502556914535,0.395997305431885,3.00850927204967,2.33433747903986,0.0727686920004658,2.32689308401285,0.395989854998786,2.47241556714758,0.343536036716874,0,7.72864379359626,0.0727686920004658,0.481621575257694,1.80567326829858,0.125229960715477,0.349963825629546,1.40527393574961,8.65805038997933,0.508364237888919,3.16356896590489,0.104922537430022,0,0.14452077788659,0.784542765403658,0,0,1.22115491740645
1975,31.7807724798395,4.11295761935214,0,0.130570846695042,0.0802645463885508,0.256645551323606,0,0,0.437522698325141,0.0802645463885508,0.210835393083593,0.306951851630098,0.643861949342255,15.159619948229,4.29218782148853,0.462984802340721,4.6625808848636,0.0689087762970751,0.501935332555737,2.99304308245699,2.43303546933969,0.210835393083593,2.58259586989943,0.462984802340721,2.7160159137958,0.241666428282577,0,7.81789863833154,0.176381004935056,0.436649909208216,1.88616276766086,0.321930974671128,0.456125174315724,0.846964925283927,9.61170049687731,0.199479622992118,3.01746663776064,0,0.0652854233475212,0.134194199644596,0.613030914143272,0,0.0344543881485376,0.543249348729272
1976,31.895369103265,4.04962633570134,0.108470210455585,0,0,0.333598343263338,0.063564097870621,0.0449061125849643,0.46072653900458,0,0.0898122251699286,0.122478870858766,0.711505229228709,16.6404853288291,3.61919967899561,0.507401845096597,4.53143830913731,0.198282435625514,0.339419291769936,2.24432592556082,3.05131944081281,0.172034308326206,3.73600248900102,0.363384857576751,2.22729224612897,0.200051629132567,0,8.045398370115,0.141136856144422,1.05557384588112,1.25040209639002,0.155145516547602,0.581436216356293,1.39735990104104,8.71508319154316,0.280504518781792,3.0214115549879,0.108470210455585,0,0,1.11913794375174,0,0,0.284042905795897
1977,33.8578512507911,4.03218999847507,0,0,0,0.216525895137138,0.0612720278888434,0,0.515957266369125,0,0.155253867248295,0.238159343343143,0.738892651395292,13.292264792013,4.05245702478856,0.331693446230525,4.53747030867684,0.12669165083006,0.72833556645389,3.21496208561086,2.1724672554549,0.168144388877484,2.12090516893814,0.181034910506673,1.91493635874241,0.364850994173203,0,8.7966466284808,0.135434577406876,1.32026954070563,1.47733756631851,0.312321892861176,0.64446307556377,1.43265591863916,9.84885140000885,0.135434577406876,2.77512651524883,0.0939818393594516,0,0.0939818393594516,0.920446840225166,0.122544055777687,0,0.90522288190819
1978,33.6135282435674,4.07125968817961,0.173177458334185,0.147488469982163,0.0577258194447282,0.245209977784469,0,0.0577258194447282,0.397233873949907,0,0.104069350542991,0.235438703962188,0.685862971173548,13.0485578590861,4.3642228095533,0.653528522691563,5.14539963719319,0.0577258194447282,0.233827689438004,3.30220105214316,2.26089457103407,0.0977215078023054,2.29887644080102,0.483573093405748,2.79081119553808,0.137717196159883,0.0399956883575772,10.5304757871426,0.0977215078023054,1.05901887129562,1.7027761201649,0.291553508882732,0.291553508882732,1.50279767837702,8.88252758524342,0.112028207807861,3.59664349088374,0.187484158339741,0,0.137717196159883,0.787007910057449,0.0977215078023054,0.0577258194447282,0.725858659531126
1979,31.4716944662692,4.37102362409362,0.0381834943199583,0.0553138235218334,0.0865699120559694,0.311748042059511,0.148811141363625,0.0381834943199583,0.401322523985095,0.0381834943199583,0.148811141363625,0.148811141363625,0.827621049004481,13.6313824090714,3.38920843624148,0.446704371851492,5.13721628707229,0.173139824111939,0.851678783992178,2.82841123021738,2.43829414242889,0.218250724217719,2.66647684230205,0.308743472189897,3.74506486562621,0.10069567138823,0,10.121364578401,0.0865699120559694,0.97305124997313,1.74719500754897,0.270559977869939,0.585854485320297,1.55143643398637,9.56901801043369,0.180067229897761,2.79696844065659,0.0865699120559694,0,0.0934973178417917,0.796364960470345,0.0553138235218334,0,0.806567883886397
1980,34.4343756290234,3.8928696433739,0.0532832486194511,0.0532832486194511,0.0729406219668741,0.217249972982169,0,0.0836252827513991,0.489794492930914,0.036470310983437,0.13362469023077,0.19303621570171,0.891846724606064,12.8443244606105,3.12641365198987,0.682091953078455,4.22829829355389,0.276661498453109,0.626263618873093,3.13664270265057,2.31701404915237,0.173378842354287,2.84813458712525,0.379944154551931,2.63088461414308,0.176223278065696,0,10.783855891616,0.036470310983437,0.839396613350897,1.1590961050676,0.150437627866784,0.782829523591366,0.899641276186122,7.9264035683093,0.036470310983437,2.30382997627499,0.173378842354287,0,0.0532832486194511,1.13203791207574,0,0.106566497238902,1.02831585054824
1981,36.8537736351774,3.1072773735992,0.13925285570863,0.104510813358239,0.104510813358239,0.19877074930131,0.13925285570863,0.0522554066791194,0.546760545419354,0,0.164028706950918,0.156766220037358,0.987300258735088,11.5948981676147,4.04815938013041,0.250741469673365,5.10794678237612,0.201050140660818,0.529247181090626,2.78265276459336,2.42425969712694,0.33076111809638,2.83205207314473,0.293030685244381,2.74078596095438,0.302996876352485,0,11.1294429765287,0,1.39708733980532,1.86140921891418,0.116756395825851,0.735565103612559,1.29727493569407,9.23415854159058,0.256009251534481,3.10870080513452,0.111773300271799,0,0.0347420423503916,0.959536016991193,0.086997449029511,0,0.820283161282562
1982,37.6004233855622,3.80593635888197,0.118223580615969,0,0,0.366531574462876,0.112462140045854,0,0.180137767370763,0.0640517492207428,0.0640517492207428,0.125965935975537,0.902826399319763,12.2172131485658,3.7981940035224,0.55292538155499,5.16815076655142,0.190017685196279,0.622243972194611,3.69362583014359,2.51647807978905,0.118223580615969,3.32793184267571,0.720053952147306,2.5227341195104,0.135845853801053,0.0640517492207428,11.7385327294101,0.029145154325314,1.32139224271192,1.64165098881563,0.112462140045854,0.775374147706009,0.829883930575975,8.68328179263896,0.125965935975537,2.61496899906024,0,0,0.0484103908251113,0.806500216820776,0,0.0349065948954288,1.23231381642126
1983,35.7444552387261,4.05854863948586,0.144168696426279,0.0467788443544503,0.0467788443544503,0.104172008907633,0.0467788443544503,0,0.615789303333711,0,0.0630432171742101,0.0935576887089006,0.684482573128948,11.7345324384725,3.14650768224901,0.610335635559413,4.64648044940789,0.184165383944925,0.272073020032799,3.36036204115703,2.74987310177603,0.312069707551445,2.51101461242607,0.399977343639318,3.20405415062379,0.137386539590475,0,11.2231650783711,0.0630432171742101,1.06524555047563,1.70226349420681,0.439288246114642,1.03586318315572,1.32828267369593,8.17085778884917,0.127904323606519,2.56600073318097,0.144168696426279,0,0,0.600407100404003,0,0,0.655100205809034
1984,37.9176240120388,3.48998672983482,0.0893491075375175,0.117732593591148,0,0.437713369724989,0.100806656666674,0.0336022188888915,0.391383863288251,0.0336022188888915,0.10666025871128,0.117732593591148,0.744966858310984,13.1206083151908,2.94281974972985,0.259015154649954,5.52671523618835,0.0782767726576502,0.816619600425448,3.34224174527382,2.49938411737822,0.363635246443965,3.0101555269256,0.347729392978127,3.11211360646887,0.308908441253974,0,11.985142117761,0,0.80071374695961,1.19960616496045,0.285358473786315,0.714039675548706,1.11102748592151,9.51173334901696,0.330033027555074,2.2392133199804,0.196009366248798,0,0.129190142720305,0.531261126639133,0.0782767726576502,0,0.637921385350414
1985,37.8746901576685,2.98169452972415,0.118198307429516,0.0854532483430322,0.0854532483430322,0.44830213563679,0,0.0427266241715161,0.490226796991094,0.0427266241715161,0.203651555772548,0.150943366516,0.827511826452013,11.8111068022923,3.36703611008501,0.207377556866547,4.7219110700227,0.368302488467579,0.401047547554063,3.78694799994216,2.80838214458645,0.0427266241715161,2.76034904573007,0.508462327081336,3.28052053797626,0.211905520777758,0,11.9182507808852,0,1.09572786313492,2.00163541112172,0.128179872514548,0.68854842603522,1.08506800967807,9.25773826597714,0.0991608145220631,2.51968482790833,0.264613710034306,0.0327450590864839,0.0427266241715161,0.87929437844595,0,0,0.718369446844917
1986,36.6956463625582,3.18684718294201,0.193414630845448,0.0320458592733232,0.0320458592733232,0.44695010218993,0.0320458592733232,0.0403421928930312,0.28125587504571,0.0403421928930312,0.149101559904804,0.204896944831743,0.715508445411775,12.7002612946382,3.27696737755329,0.437868870889196,4.40699613536761,0.281610452570192,0.747199727160616,2.82555737118005,2.30781836517539,0.193414630845448,2.71457775973641,0.446519782033386,3.07444216241753,0.297418222128582,0,11.7543557451253,0.0280749812257106,0.687078886661582,1.51759652754376,0.168880207510807,1.30283345373026,1.02908901462323,9.72961253226052,0.100463033392065,2.19837919610423,0.168880207510807,0,0.204896944831743,1.17075488122141,0,0,0.759745773720359
1987,36.1911546580625,3.13080718333535,0.151799947234477,0.0401689067955033,0.0401689067955033,0.248391035164068,0.111631040438973,0.102755360491437,0.571326340252529,0,0.0938796805438998,0.0401689067955033,0.629332572111052,10.9735975339745,3.57770207398647,0.406070491233105,4.24971616171938,0.291642078240494,0.483610932270474,3.60541790401901,3.26036151400529,0.31247557441649,2.99011076114748,0.365901584437602,3.17413249333184,0.171135357853984,0,13.6649616879698,0.12050672038651,0.757130921720664,1.61243698209535,0.328728848755075,0.892763559784501,0.899856390448265,9.75537436202729,0.220179944597024,2.05495044946841,0.12050672038651,0,0.0996732242105142,0.886970016117887,0.0401689067955033,0,0.973101373375508
1988,34.319492188342,3.27763448799744,0.306172933217802,0.0676347124719919,0.106902215713294,0.21622672279297,0.0700570038383734,0.030789500597071,0.510988452068545,0.0785350064826048,0.109324507079676,0.174536928185286,0.954853101596712,12.8521285793402,3.33436890645882,0.196848426138126,6.47495477781678,0.213804431426589,0.572567453262687,3.99211309248647,2.66006538718915,0.21622672279297,3.26048913975091,0.470320477324089,3.06102907928834,0.170903508273818,0.118313419655521,12.3369958317048,0.100846504435444,0.933052513575486,1.84360422051627,0.277805723987112,0.979397547957866,1.33089369569482,8.90108016792085,0.266394520044885,2.15621151665185,0.236115929379428,0,0.092368501791213,1.03440992794254,0.0676347124719919,0,0.599023281058609
1989,33.1444208095831,3.99230713576044,0.258450058963006,0.0766109864587188,0.0383054932293594,0.281224549511071,0.0688454851180715,0.0610799837774241,0.464986514317221,0,0.0610799837774241,0.135768077934281,0.537229702698339,13.3247661829979,3.17879932990846,0.233230662639203,7.32895737054223,0.248761665320497,0.642457788743907,3.44370998366878,2.72992246655236,0.0766109864587188,3.41216055948681,0.573612303625836,2.49040111353369,0.154696783878622,0.14545647157679,12.9117672044227,0.0383054932293594,0.918361742690071,1.79937078963809,0.128002576593634,1.25155653061589,1.10455131594471,10.1183937804504,0.156619676180484,2.09901932894687,0.309841649097921,0,0.122159967554848,0.787914260320698,0.0766109864587188,0,0.925605230556841
1990,35.1559489501658,3.81298272492026,0.171189849980367,0.0289609653441736,0.11188060996984,0.356062832002209,0.142228884636193,0,0.53023469256598,0.0979900859893207,0.135283622645934,0.149174146626453,0.811710451254962,13.4891255392367,3.36467772077714,0.454052917991529,7.16331684972574,0.0606965493327075,0.87379430990985,4.11782320817229,1.74481400117534,0.327309258597079,3.3777561077602,0.387798415990742,2.94252077522078,0.195980171978641,0.266405317325327,11.6072171068358,0.126951051333494,0.828168201940797,1.44806912456302,0.21681595794942,0.636151281369011,1.6188441906653,9.7340647450048,0.247164232615773,2.23678263164061,0.21681595794942,0,0.0303482746663538,1.15665737792101,0,0,0.844833344565676
1991,36.947734136519,3.31635348407486,0.0661569096171196,0.0299180440660772,0.144955462204169,0.257248689145367,0.181194327755212,0,0.482060831774733,0.0955458897641239,0.197941664932286,0.298750248343229,0.708333349015877,10.9155034851818,3.49185492586571,0.523865766144698,7.74236289870364,0.270419396034371,0.694633578207801,3.50072280550543,1.91608161732777,0.174344442351174,3.72115382429945,0.568012644937924,2.63219616244039,0.312979083070378,0.0661569096171196,12.3007705793593,0.0724777311020847,0.581712415746,1.35398754710118,0.396941457702718,1.05732560889033,1.25685446557983,9.80378103983282,0.0892250682791588,2.3623549610454,0.204262486417251,0,0.0299180440660772,0.968629604530242,0,0,0.725080686192951
1992,33.7194445103349,4.0881762748006,0.284083115901852,0.0299223603897863,0.0649311766429312,0.124537149824354,0.130101100884013,0,0.514601704878241,0.0352475638512951,0.100178740494226,0.300774969080829,0.685275573075058,11.8780832126994,3.11349238236218,0.349730535339234,7.61471536720863,0.265527405229534,0.44943178063716,3.89073999624069,2.1825863421451,0.235605044839748,4.08443104635244,0.585335580178982,2.71244741461342,0.349730535339234,0.243510348589048,11.2807384847207,0.100178740494226,1.32207307508801,1.54428260983102,0.354816991202593,1.10550123611688,1.34972782750038,11.3287124275762,0.230279841378239,1.86401704006825,0.300774969080829,0,0.0596059731814224,1.06743482437964,0,0,0.544762812866178
1993,33.3137172212473,3.40203293234307,0.400287584018112,0.0649967472969977,0.0995071337766736,0.227735651619732,0.0986246454012054,0,0.296756424579084,0.0690207729593518,0.188318751102234,0.267152552137231,0.791644628336048,11.8370775109964,3.46349972613819,0.347033629762615,7.66947357677299,0.158714878660381,0.532540127523525,4.054648455408,1.71890725794874,0.231759677282087,3.70761453316111,0.473885587069724,3.03383219016257,0.317429757320761,0.121062954893819,11.153765192676,0.0641142589215294,1.14093730701008,1.88462291134344,0.361753171876082,0.83249722165892,1.23873859630524,10.8663745401724,0.0304863608173218,2.3822642361723,0.163621392698203,0.059207744883707,0.0641142589215294,1.17583610970474,0,0,0.915849120516752
