"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"testis",0.289108510827695,0.548388544832067,0.654826309581889,0.309939834245626,0.388538101233272,0.643817134778016,0.354178979266015,0.275627192972297,-0.0558996406645248,0.326176842976641,-0.179317288773796,0.417256361711738,0.0183713198279406,-0.151950626318571,0.342886007171239,0.472500762172371,0.529033128761986,0.00421436808723559,-0.588334236142884,0.630909034621173,0,-0.0194534559766806,0.726731264648704,-0.298270158787166,0.180339185606157,0.557397856966241,-0.485714099378347,0.138341931135766,-0.342984689244019,0.525597894150389,0.426422090413899,0.501089171685385,0.602978063699524,-0.733961798029717,-0.886814720427334,0.343165273514175,0.0892999198223465,0.0648305005803554,0.622812345769122,-0.498620453563253,-0.160856325303551,-0.6940551515098
"bones.and.joints",-0.132375650223525,-0.0926144611477368,0.0790236840159366,0.0258623699476081,0.0101339545482301,0.157848146450469,0.0207446181617384,0.0642466849643827,0.312305740981757,0.130809813774933,-0.0614549549701224,0.208124665439545,-0.104201832273125,-0.0143263841149869,-0.00953770679300007,0.123747409173181,0.314950246038586,-0.284234771586902,0.00817105483400729,0.100269138942443,-0.0194534559766806,0,0.0428455549509568,-0.175831802787501,0.188187102647757,-0.107866079720757,0.178345195874157,0.0799342563588355,-0.166178277046402,-0.0702026990085895,0.0972792292545805,0.14955024671664,0.0151205092918198,0.0676886931789251,-0.0817030350882367,-0.142588409896435,-0.220678921254268,-0.193416294117528,0.0592973865925424,-0.192196717099977,0.123280987214792,-0.0511726429870983
"brain.and.other.nervous.system",0.224308372150679,0.608609194422887,0.269640989782373,0.231140377659715,0.303840527254761,0.554761676921777,0.199305968783346,0.248044693859704,0.064952410076136,0.28587923395515,-0.208108156684466,0.451979548750935,0.153355283370645,-0.216155165697261,0.303433714125203,0.374793968991431,0.220435776382609,-0.0899578870668124,-0.413857061401415,0.582710958693556,0.726731264648704,0.0428455549509568,0,-0.265309179541572,-0.0378506973441842,0.442893021715736,-0.375569106475742,0.313162903501798,-0.186010879969302,0.727886705447737,0.13696544851934,0.355301594375119,0.669588843486004,-0.640619847594334,-0.647012781458458,0.434680347916296,-0.15991844150956,-0.037771720538,0.668803879150338,-0.480238032804944,-0.312901184739224,-0.608975965388879
"eye.and.orbit",-0.373081742177635,-0.165162011151591,-0.224676279574087,-0.271838639550442,0.0523161996380253,-0.218327386454917,-0.036222795800821,-0.284465710541476,-0.0534680574026013,-0.138011760339769,-0.121281134976707,0.0494271566593694,-0.197491399099683,-0.0155971130953684,-0.101261562905809,-0.197938287310396,-0.320213433032131,0.203064563613395,0.139235463258638,-0.147408275692225,-0.298270158787166,-0.175831802787501,-0.265309179541572,0,-0.221608498026108,-0.252757634754842,0.0654513743517689,0.143246630844585,-0.00396497085514727,0.0181026773556939,-0.0724238371141058,-0.0776629049457844,-0.0427963328198562,0.183564491010891,0.212469281762113,-0.122886904061444,0.350587123773933,-0.266659851671064,-0.184202313484503,0.336979676207493,-0.0884024432846573,0.275526165962687
"kaposi.sarcoma.",0.0242316724279082,-0.444472448825569,0.148461742895976,0.0358062510982771,-0.103048423262991,0.0729274872871651,-0.113256484844334,-0.290582880176155,-0.192067740757476,0.295253684966794,0.331963753827337,-0.139872536186903,-0.234848787267281,0.268841611087674,-0.330792567064993,-0.155600698327658,0.805656520458502,-0.273453086305849,-0.163607560748924,-0.340783286189116,0.180339185606157,0.188187102647757,-0.0378506973441842,-0.221608498026108,0,0.395531992724558,-0.0299840877117923,-0.34678182089683,-0.0237026609398404,-0.356932077309823,0.384664147392588,-0.241829315087242,-0.4162198328388,0.0525514887081215,0.00757089291296991,-0.0752590922885753,-0.236681971943917,0.343886269870639,-0.383100864615044,-0.121525077653492,0.159918896722553,0.216542427171564
"melanoma.of.the.skin",0.173373784515663,0.0541210146002801,0.348908185752765,0.156064258049348,-0.0441044349605944,0.252284291952194,0.195874841589924,-0.025941153901332,-0.204675697905588,0.344027230119271,-0.0172102088331649,-0.134477019463187,-0.0662500684416431,-0.0326010796495143,-0.0973900812681998,0.11086357546138,0.455775324323473,-0.0349419813282862,-0.414036794993811,0.164111661398371,0.557397856966241,-0.107866079720757,0.442893021715736,-0.252757634754842,0.395531992724558,0,-0.418611996777449,-0.166564412503865,0.0330136551727896,0.239308534655313,0.535519573973772,0.080639578104413,0.0570520830738712,-0.351893580475817,-0.345570031223911,0.193257946603649,-0.0763122336398002,0.250461995685205,0.127003296026927,-0.427055390942122,-0.0862130787553578,-0.164827410446007
"mesothelioma.",-0.207296995868637,-0.147110600843782,-0.362943762983191,-0.259727472999819,-0.234875740683896,-0.401705249616455,-0.281389980823092,-0.0729603158794357,0.325061978276306,-0.225901549633895,0.116544634153705,0.0462088343612356,-0.128655366778471,0.252569416929853,0.0048421695532708,-0.206211049658401,-0.238435491511487,-0.211768823669193,0.185946497064369,-0.36912387320944,-0.485714099378347,0.178345195874157,-0.375569106475742,0.0654513743517689,-0.0299840877117923,-0.418611996777449,0,-0.0411704838665227,0.0927654102156279,-0.346234622536182,-0.26623369435484,-0.261160324613352,-0.205513199316168,0.405022974036202,0.42241216937338,-0.061602884270535,0.123274971715655,0.0460642988637629,-0.201741510877105,0.514780329862697,0.226235473470975,0.289976499237896
"miscellaneous",0.181550556199587,0.55409255091053,0.0466013487537297,0.0839864094838293,0.195784893451979,0.306561994197078,0.0927736410451045,0.273866033863648,0.0593811208517283,-0.0785525531879517,-0.0125658150850383,0.409245992786754,0.130140224020534,-0.243180885777101,0.319670113182607,0.294545123100613,-0.234010610701626,-0.107062485468838,0.013628278184939,0.438815595983536,0.138341931135766,0.0799342563588355,0.313162903501798,0.143246630844585,-0.34678182089683,-0.166564412503865,-0.0411704838665227,0,-0.326282475102236,0.423394078604692,-0.152805279830888,0.36525658491154,0.559189769514815,-0.302681351670773,-0.265058874952029,0.162076454509972,-0.0404756967417731,0.12857388641616,0.515713856843702,-0.172140725789021,-0.290872915300165,-0.344520745664586
"oral.cavity.and.pharynx",-0.232570634405079,-0.209485081463495,-0.331524220592595,-0.170582969249712,0.0365703590002665,-0.302075991309519,-0.296899098387564,-0.244976121829138,0.0831651832722784,0.133908580549127,0.243817173221917,-0.388786407468485,0.135839610450313,0.198926476134841,-0.186581608650251,-0.479230851260287,-0.202856364999899,0.342408751179476,0.43412628623463,-0.289908712817221,-0.342984689244019,-0.166178277046402,-0.186010879969302,-0.00396497085514727,-0.0237026609398404,0.0330136551727896,0.0927654102156279,-0.326282475102236,0,-0.156948421335228,-0.145613604039405,-0.17752776951749,-0.330682829196587,0.213295659299174,0.46004444083029,-0.161805502369394,-0.0605516602202317,-0.124148951789289,-0.301360070343987,0.109180878437163,-0.0266883349176018,0.390963919968554
"other.endocrine.including.thymus",0.0185620940993924,0.632408893922418,0.194605230210437,0.232943419248719,0.156787347320946,0.433515700716572,0.144689609765006,0.156657994496597,0.108459084081057,0.0820106492509661,-0.331918695989092,0.387701284787185,0.298188516806126,-0.044524434239253,0.377639643534481,0.313467165917363,-0.115838528406475,0.162107930572159,-0.290388137713619,0.542320991811788,0.525597894150389,-0.0702026990085895,0.727886705447737,0.0181026773556939,-0.356932077309823,0.239308534655313,-0.346234622536182,0.423394078604692,-0.156948421335228,0,0.0928910685860631,0.424378387516488,0.686516314884252,-0.528587131501924,-0.568642381478582,0.451985324403167,-0.0146770782615169,-0.0793298720318938,0.640355023203414,-0.243000583631368,-0.343203554686452,-0.505636611188563
"other.non.epithelial.skin",0.0963705919926275,0.0109671650045945,0.50989280138864,0.19843879194293,-0.0388508703551879,0.337610449155912,0.133607532798192,-0.0474250567047859,-0.230758997657052,0.386919915456774,-0.103837385199424,-0.0672545702397053,-0.227560923619036,-0.00911274777744026,-0.145418725136334,0.129002659925888,0.445611825997778,0.0375793212480937,-0.223999075213547,0.15516680307855,0.426422090413899,0.0972792292545805,0.13696544851934,-0.0724238371141058,0.384664147392588,0.535519573973772,-0.26623369435484,-0.152805279830888,-0.145613604039405,0.0928910685860631,0,0.030952413568696,0.00219501818542754,-0.189910174297735,-0.32651910220929,0.109385674183717,0.0606346249568466,0.0915316188911953,0.0887822702461012,-0.422882077073455,0.232135079856136,-0.103454736348068
"soft.tissue.including.heart",0.0496747351351629,0.515629910151609,0.397181159925041,0.128639310887227,0.452389431444141,0.49558826661386,0.338150252664877,0.0889945948090081,0.149859185119456,0.104618039807642,-0.12274088405457,0.26014850792982,0.324324891723118,-0.20826898074627,0.321712519738864,0.347871135819833,0.1288011290542,0.126838603254555,-0.176413747935824,0.626251868046101,0.501089171685385,0.14955024671664,0.355301594375119,-0.0776629049457844,-0.241829315087242,0.080639578104413,-0.261160324613352,0.36525658491154,-0.17752776951749,0.424378387516488,0.030952413568696,0,0.477725298502753,-0.548787659750761,-0.574830311202884,0.0807921597619991,-0.045501908737049,-0.0703939697137271,0.581403488143546,-0.319690962661314,-0.231914989389043,-0.527712307171681
"thyroid",0.227287640641471,0.877792230286381,0.266029614967497,0.226883936786535,0.410019171723306,0.476165917543357,0.390599841598896,0.314149766107959,0.247370675599571,-0.100940364373038,-0.353059559700815,0.60325393315904,0.170329940416273,-0.266221381102682,0.52827666127406,0.536789046029972,-0.118370749451431,0.0230601956390619,-0.326043053665965,0.656146579239062,0.602978063699524,0.0151205092918198,0.669588843486004,-0.0427963328198562,-0.4162198328388,0.0570520830738712,-0.205513199316168,0.559189769514815,-0.330682829196587,0.686516314884252,0.00219501818542754,0.477725298502753,0,-0.54804287231548,-0.673349076790863,0.414395724815679,0.227091342021065,-0.167350244021964,0.87386083283911,-0.193979772876164,-0.289141250085483,-0.722555217158982
"larynx",-0.275519182583148,-0.614392085404042,-0.574209081816809,-0.342245494095484,-0.433853802713154,-0.674586003273586,-0.353562033167518,-0.33003654191563,0.118496119894609,-0.371917790365519,0.345071547695946,-0.485834330802104,-0.156131586476091,0.268347610549247,-0.414537555873107,-0.561315031838985,-0.274106485409699,-0.0306345408957938,0.381017330732779,-0.676527269755293,-0.733961798029717,0.0676886931789251,-0.640619847594334,0.183564491010891,0.0525514887081215,-0.351893580475817,0.405022974036202,-0.302681351670773,0.213295659299174,-0.528587131501924,-0.189910174297735,-0.548787659750761,-0.54804287231548,0,0.813119962928655,-0.222955196417794,-0.0531605484633142,-0.0853376729979623,-0.538344258092626,0.398267639917858,0.461874391718174,0.608661728589623
"lung.and.bronchus",-0.211639412979771,-0.610308260919539,-0.701558119011928,-0.321835666186656,-0.417465441799024,-0.743440439025236,-0.411505124631934,-0.326409043161457,0.00464520448238019,-0.307447074411882,0.376585284370555,-0.555900429561087,-0.0242415833659703,0.222491112036368,-0.434852257276956,-0.596279599781713,-0.414059969929251,-0.00236635060375044,0.523896234899025,-0.760432358594052,-0.886814720427334,-0.0817030350882367,-0.647012781458458,0.212469281762113,0.00757089291296991,-0.345570031223911,0.42241216937338,-0.265058874952029,0.46004444083029,-0.568642381478582,-0.32651910220929,-0.574830311202884,-0.673349076790863,0.813119962928655,0,-0.327491244526792,-0.108971600682769,-0.00108925440080265,-0.677745283793029,0.351335463062136,0.232460741679719,0.733270264089942
"nose..nasal.cavity.and.middle.ear",0.0164836313761878,0.506177876695384,0.113221596846256,0.15477563431075,0.0861950533394206,0.221614533320736,0.0933721301260414,0.19286635502454,-0.0327971507512121,-0.0291327691648698,-0.204984473455271,0.330607896425111,-0.0826621400413384,0.151869251190276,0.219595048139528,0.150364100721922,0.0469775474507435,0.149204703599883,-0.246787085489293,0.294972324602563,0.343165273514175,-0.142588409896435,0.434680347916296,-0.122886904061444,-0.0752590922885753,0.193257946603649,-0.061602884270535,0.162076454509972,-0.161805502369394,0.451985324403167,0.109385674183717,0.0807921597619991,0.414395724815679,-0.222955196417794,-0.327491244526792,0,0.0298064362468918,-0.0165375371509508,0.496166512595436,-0.0872598683304977,-0.266432740616009,-0.486380752692381
"pleura",0.21859494123674,0.2324397392103,0.0330755156663302,0.0164620342805199,0.160625354613032,-0.164660824226248,0.126110878808502,0.0407503366205435,0.0193888382056513,-0.152828832890314,-0.170868903059672,0.205262254522013,-0.125335375648279,-0.0543052119328223,0.0592361497060447,0.182578582172429,-0.246616737126053,0.187649243449954,-0.0341124968624874,-0.0134510102851372,0.0892999198223465,-0.220678921254268,-0.15991844150956,0.350587123773933,-0.236681971943917,-0.0763122336398002,0.123274971715655,-0.0404756967417731,-0.0605516602202317,-0.0146770782615169,0.0606346249568466,-0.045501908737049,0.227091342021065,-0.0531605484633142,-0.108971600682769,0.0298064362468918,0,-0.127227479849771,0.117944953458105,0.166885315709547,0.0593912689755382,-0.0312432859517889
"trachea..mediastinum.and.other.respiratory.organs",0.0948131013860402,0.000909202471096213,0.132315349919588,0.12273453207099,-0.142463553140245,-0.0805025717184327,-0.300611565702975,0.0424066589545946,-0.025930609034049,-0.0686231394965841,0.126166580507446,-0.0493545841650165,-0.0123660448084681,0.155654668904652,-0.339688794535383,0.0553780853420398,0.171719294929465,-0.384478724397124,-0.0236337066421534,-0.0588907901318049,0.0648305005803554,-0.193416294117528,-0.037771720538,-0.266659851671064,0.343886269870639,0.250461995685205,0.0460642988637629,0.12857388641616,-0.124148951789289,-0.0793298720318938,0.0915316188911953,-0.0703939697137271,-0.167350244021964,-0.0853376729979623,-0.00108925440080265,-0.0165375371509508,-0.127227479849771,0,-0.0973061679166768,-0.0525193589862299,0.130185620677862,0.00661878586413847
"kidney.and.renal.pelvis",0.242154703421491,0.869836287056391,0.329574831121988,0.228201321981724,0.475852882728063,0.521755859883646,0.384990110775092,0.35790647165524,0.29703816435873,-0.0395076087626448,-0.330925664622179,0.566517770882839,0.14182433171911,-0.190943539670043,0.415344203138244,0.508459061251697,-0.0582653788136255,0.0755511998822093,-0.230050201966815,0.700484594733249,0.622812345769122,0.0592973865925424,0.668803879150338,-0.184202313484503,-0.383100864615044,0.127003296026927,-0.201741510877105,0.515713856843702,-0.301360070343987,0.640355023203414,0.0887822702461012,0.581403488143546,0.87386083283911,-0.538344258092626,-0.677745283793029,0.496166512595436,0.117944953458105,-0.0973061679166768,0,-0.362504168971222,-0.209525418984944,-0.75400910616564
"other.urinary.organs",-0.34807198826407,-0.237056542933856,-0.344485891441006,-0.108889402742431,-0.23057997638456,-0.388089559586238,-0.266783362517931,-0.287014120447297,0.137626935998459,-0.469059553063803,0.0472430308965153,-0.00011533771559851,-0.0354045862240565,0.20924483180006,-0.11022929659591,-0.106912302282118,-0.279305902702464,0.00108468515276793,0.0838083371167539,-0.348848749803232,-0.498620453563253,-0.192196717099977,-0.480238032804944,0.336979676207493,-0.121525077653492,-0.427055390942122,0.514780329862697,-0.172140725789021,0.109180878437163,-0.243000583631368,-0.422882077073455,-0.319690962661314,-0.193979772876164,0.398267639917858,0.351335463062136,-0.0872598683304977,0.166885315709547,-0.0525193589862299,-0.362504168971222,0,0.120808814514829,0.278335722233781
"ureter",-0.108872179116343,-0.368086464259842,0.0511619844818304,-0.0751897925244948,-0.31839880508931,-0.237121965073843,-0.112377103166388,-0.259164049855076,0.197022436499196,-0.211131892329515,0.24695269492991,-0.244973920124939,-0.0599391129561105,-0.0302323945155437,-0.168076176927226,-0.197238162845342,-0.0160692659058394,-0.0715644934017801,0.0153945288310726,-0.261749533286702,-0.160856325303551,0.123280987214792,-0.312901184739224,-0.0884024432846573,0.159918896722553,-0.0862130787553578,0.226235473470975,-0.290872915300165,-0.0266883349176018,-0.343203554686452,0.232135079856136,-0.231914989389043,-0.289141250085483,0.461874391718174,0.232460741679719,-0.266432740616009,0.0593912689755382,0.130185620677862,-0.209525418984944,0.120808814514829,0,0.199981869376495
"urinary.bladder",-0.274070685795702,-0.772738286944171,-0.565428524840609,-0.284707085252755,-0.386960796849921,-0.487173975170727,-0.286541057466542,-0.356795354177307,-0.14091989048093,-0.0907114562732132,0.250046055530878,-0.524839377806923,-0.113238444908748,0.277339847957309,-0.356724761058671,-0.609983392670829,-0.203434513962332,0.0256881076951953,0.475178454445477,-0.70442638732609,-0.6940551515098,-0.0511726429870983,-0.608975965388879,0.275526165962687,0.216542427171564,-0.164827410446007,0.289976499237896,-0.344520745664586,0.390963919968554,-0.505636611188563,-0.103454736348068,-0.527712307171681,-0.722555217158982,0.608661728589623,0.733270264089942,-0.486380752692381,-0.0312432859517889,0.00661878586413847,-0.75400910616564,0.278335722233781,0.199981869376495,0
